Statement,Label,
South Korea's Most Innovative Tech Startups Revolutionize Global Markets!!!,FALSE,
China's Most Ambitious Space Mission Successfully LAND Rover on Mars,FALSE,
Japan's Most Inspiring Recovery Efforts After Massive Earthquake Rebuild HOPE,FALSE,
Afghanistan's Most Courageous Women Leaders Fight for Equal Rights!!!,FALSE,
Singapore's Most Advanced Healthcare System Leads Region in PANDEMIC Response,FALSE,
Thailand's Most Heartwarming Rescue of Stranded Tourists Amid Floods!!!,FALSE,
Indonesia's Most Daring Coral Reef Restoration Project Revives Marine Life!!!,FALSE,
Motor ships collided in St. Petersburg,TRUE,
The Ukrainian Armed Forces tried to attack an oil pipeline in the Russian region,TRUE,
It became known about the possible role of Prigozhin in the purges in the Ministry of Defense,TRUE,
A Muscovite woman went blind after a simple plastic surgery by a famous surgeon,TRUE,
Near Bataisk a schoolgirl stole a peer and locked her in the basement,TRUE,
The head of the Simferopol district: the victims of the Ukrainian Armed Forces strike in Crimea were 40 and 50 years old,TRUE,
The Ukrainian Armed Forces tried to attack the Drubzha oil pipeline in the Bryansk region,TRUE,
A bus with 20 passengers drove into a river in St. Petersburg,TRUE,
Four people did not survive the collapse of the roof of a restaurant in a European resort,TRUE,
The probable reason for the reduction in the number of the General Staff of the Armed Forces of Ukraine is named,TRUE,
